fullName,id,country,eu_group_1,eu_group_2,nation_group,term,start_period_1,gender,orientation
Claudio MARTELLI,1602,Italy,Socialist Group,None,Partito socialista italiano ,1984-1989,07-1984,male,centre-left
Renato MASSARI,1793,Italy,Socialist Group,None,Partito socialista democratico italiano ,1984-1989,07-1984,male,centre-left
Vincenzo MATTINA,1011,Italy,Socialist Group,None,Partito socialista italiano ,1984-1989,07-1984,male,centre-left
Alberto MICHELINI,971,Italy,European People's Party,None,Democrazia cristiana ,1984-1989,07-1984,male,centre-right
Alfeo MIZZAU,1595,Italy,European People's Party,None,Democrazia cristiana ,1984-1989,07-1984,male,centre-right
Emilio MOLINARI,1615,Italy,Rainbow Group,None,Democrazia proletaria ,1984-1989,07-1984,male,centre
Alberto MORAVIA,1596,Italy,Communist and Allies Group,None,Partito comunista italiano ,1984-1989,07-1984,male,left
Giovanni MORONI,1594,Italy,Socialist Group,None,Partito socialista democratico italiano ,1984-1989,07-1984,male,centre-left
Alessandro NATTA,1582,Italy,Communist and Allies Group,None,Partito comunista italiano ,1984-1989,07-1984,male,left
Diego NOVELLI,1674,Italy,Communist and Allies Group,None,Partito comunista italiano ,1984-1989,07-1984,male,left
Giancarlo PAJETTA,1557,Italy,Communist and Allies Group,None,Partito comunista italiano ,1984-1989,07-1984,male,left
Marco PANNELLA,1002,Italy,Non-attached Members,Technical Coordination and Defence of Independent Groups and Members ,Partito radicale ,1984-1989,07-1984,male,Non aligned
Giovanni PAPAPIETRO,1555,Italy,Communist and Allies Group,None,Partito comunista italiano ,1984-1989,07-1984,male,left
Eolo PARODI,233,Italy,European People's Party,None,Democrazia cristiana ,1984-1989,07-1984,male,centre-right
Jiri PELIKAN,1552,Italy,Socialist Group,None,Partito socialista italiano ,1984-1989,07-1984,male,centre-left
Francesco PETRONIO,1550,Italy,Group of the European Right,None,Movimento sociale italiano - Destra nazionale ,1984-1989,07-1984,male,right
Sergio PININFARINA,1544,Italy,Liberal and Democratic Group,Liberal and Democratic Reformist Group ,Partito liberale italiano ,1984-1989,07-1984,male,centre
Ferruccio PISONI,1003,Italy,European People's Party,None,Democrazia cristiana ,1984-1989,07-1984,male,centre-right
Nino PISONI,983,Italy,European People's Party,None,Democrazia cristiana ,1984-1989,07-1984,male,centre-right
Mario POMILIO,1559,Italy,European People's Party,None,Democrazia cristiana ,1984-1989,07-1984,male,centre-right
Andrea RAGGIO,1004,Italy,Communist and Allies Group,None,Partito comunista italiano ,1984-1989,07-1984,female,left
Alfredo REICHLIN,1532,Italy,Communist and Allies Group,None,Partito comunista italiano ,1984-1989,07-1984,male,left
Mario RIGO,1536,Italy,Socialist Group,None,Partito socialista italiano ,1984-1989,07-1984,male,centre-left
Rosario ROMEO,1718,Italy,Liberal and Democratic Group,Liberal and Democratic Reformist Group ,Partito repubblicano italiano ,1984-1989,07-1984,male,centre
Pino ROMUALDI,1727,Italy,Group of the European Right,None,Movimento sociale italiano - Destra nazionale ,1984-1989,07-1984,male,right
Giorgio ROSSETTI,1006,Italy,Communist and Allies Group,None,Partito comunista italiano ,1984-1989,07-1984,male,left
Giuseppe SCHIAVINATO,1525,Italy,Liberal and Democratic Reformist Group,None,Partito repubblicano italiano ,1984-1989,07-1988,male,centre
Sergio Camillo SEGRE,1515,Italy,Communist and Allies Group,None,Partito comunista italiano ,1984-1989,07-1984,male,left
Gustavo SELVA,1524,Italy,European People's Party,None,Democrazia cristiana ,1984-1989,07-1984,male,centre-right
Altiero SPINELLI,1643,Italy,Communist and Allies Group,None,Indipendenti di sinistra ,1984-1989,07-1984,male,left
Vera SQUARCIALUPI,1501,Italy,Communist and Allies Group,None,Indipendenti di sinistra ,1984-1989,07-1984,female,left
Giovanni STARITA,1523,Italy,European People's Party,None,Democrazia cristiana ,1984-1989,07-1984,male,centre-right
Carlo TOGNOLI,1771,Italy,Socialist Group,None,Partito socialista italiano ,1984-1989,07-1984,male,centre-left
Enzo TORTORA,1724,Italy,Non-attached Members,None,Partito radicale ,1984-1989,07-1984,male,Non aligned
Antonino TRIPODI,1729,Italy,Group of the European Right,None,Movimento sociale italiano - Destra nazionale ,1984-1989,07-1984,male,right
Renzo TRIVELLI,1081,Italy,Communist and Allies Group,None,Partito comunista italiano ,1984-1989,07-1984,male,left
Osvalda TRUPIA,1497,Italy,Communist and Allies Group,None,Partito comunista italiano ,1984-1989,07-1984,female,left
Maurizio VALENZI,1495,Italy,Communist and Allies Group,None,Partito comunista italiano ,1984-1989,07-1984,male,left
Mario ZAGARI,1480,Italy,Socialist Group,None,Partito socialista italiano ,1984-1989,07-1984,male,centre-left
Maria Adelaide AGLIETTA,1114,Italy,The Green Group in the European Parliament,None,Verdi Arcobaleno ,1989-1994,07-1989,female,centre-left
Gianfranco AMENDOLA,1134,Italy,The Green Group in the European Parliament,None,Verdi Europa ,1989-1994,07-1989,male,centre-left
Gianni BAGET BOZZO,1093,Italy,Socialist Group,Socialist Group,Partito socialista italiano ,1989-1994,07-1989,male,centre-left
Roberto BARZANTI,1135,Italy,Group for the European United Left,Socialist Group,Partito comunista italiano ,1989-1994,07-1989,male,left
Vincenzo BETTIZA,977,Italy,Socialist Group,Socialist Group,Partito socialista italiano ,1989-1994,07-1989,male,centre-left
Rosaria BINDI,1115,Italy,European People's Party,None,Democrazia cristiana ,1989-1994,07-1989,female,centre-right
Andrea BONETTI,1136,Italy,European People's Party,None,Democrazia cristiana ,1989-1994,07-1989,female,centre-right
Rinaldo BONTEMPI,1020,Italy,Group for the European United Left,Socialist Group,Partito comunista italiano ,1989-1994,07-1989,male,left
Franco BORGO,1012,Italy,European People's Party,None,Democrazia cristiana ,1989-1994,07-1989,male,centre-right
Antonio CARIGLIA,1013,Italy,Socialist Group,Socialist Group,Partito socialista democratico italiano ,1989-1994,07-1989,male,centre-left
Pierre CARNITI,1085,Italy,Socialist Group,Socialist Group,Partito socialista italiano ,1989-1994,07-1989,male,centre-left
Carlo CASINI,988,Italy,European People's Party,None,Democrazia cristiana ,1989-1994,07-1989,male,centre-right
Maria Luisa CASSANMAGNAGO CERRETTI,949,Italy,European People's Party,None,Democrazia cristiana ,1989-1994,07-1989,female,centre-right
Luciana CASTELLINA,947,Italy,Group for the European United Left,None,Partito comunista italiano ,1989-1994,07-1989,female,left
Anna CATASTA,1116,Italy,Group for the European United Left,Socialist Group,Partito comunista italiano ,1989-1994,07-1989,female,left
Adriana CECI,993,Italy,Group for the European United Left,Socialist Group,Partito comunista italiano ,1989-1994,07-1989,female,left
Mauro CHIABRANDO,1014,Italy,European People's Party,None,Democrazia cristiana ,1989-1994,07-1989,male,centre-right
Luigi Alberto COLAJANNI,1137,Italy,Group for the European United Left,Socialist Group,Partito comunista italiano ,1989-1994,07-1989,male,left
Emilio COLOMBO,968,Italy,European People's Party,None,Democrazia cristiana ,1989-1994,07-1989,male,centre-right
Felice CONTU,1086,Italy,European People's Party,None,Democrazia cristiana ,1989-1994,07-1989,male,centre-right
Francesco CORLEONE,996,Italy,The Green Group in the European Parliament,None,Verdi Arcobaleno ,1989-1994,07-1989,male,centre-left
Bettino CRAXI,1118,Italy,Socialist Group,None,Partito socialista italiano ,1989-1994,07-1989,male,centre-left
Joachim DALSASS,1087,Italy,European People's Party,None,Südtiroler Volkspartei ,1989-1994,07-1989,male,centre-right
Biagio DE GIOVANNI,1130,Italy,Group for the European United Left,Socialist Group,Partito comunista italiano ,1989-1994,07-1989,male,left
Cesare DE PICCOLI,1131,Italy,Group for the European United Left,Socialist Group,Partito comunista italiano ,1989-1994,07-1989,male,left
Lorenzo DE VITTO,1088,Italy,European People's Party,None,Democrazia cristiana ,1989-1994,07-1989,male,centre-right
Maurice DUVERGER,1015,Italy,Group for the European United Left,Socialist Group,Partito comunista italiano ,1989-1994,07-1989,male,left
Enrico FALQUI,1132,Italy,The Green Group in the European Parliament,None,Verdi Europa ,1989-1994,07-1989,male,centre-left
Antonio FANTINI,1117,Italy,European People's Party,None,Democrazia cristiana ,1989-1994,07-1989,male,centre-right
Giulio FANTUZZI,1109,Italy,Group for the European United Left,Socialist Group,Partito comunista italiano ,1989-1994,07-1989,male,left
Giuliano FERRARA,989,Italy,Socialist Group,Socialist Group,Partito socialista italiano ,1989-1994,07-1989,male,centre-left
Enrico FERRI,990,Italy,Socialist Group,Socialist Group,Partito socialista democratico italiano ,1989-1994,07-1989,male,centre-left
Gianfranco FINI,1007,Italy,Non-attached Members,None,Movimento sociale italiano - Destra nazionale ,1989-1994,07-1989,male,Non aligned
Arnaldo FORLANI,1008,Italy,European People's Party,None,Democrazia cristiana ,1989-1994,07-1989,male,centre-right
Roberto FORMIGONI,1110,Italy,European People's Party,None,Democrazia cristiana ,1989-1994,07-1989,male,centre-right
Mario FORTE,1111,Italy,European People's Party,None,Democrazia cristiana ,1989-1994,07-1989,male,centre-right
Gerardo GAIBISSO,1009,Italy,European People's Party,None,Democrazia cristiana ,1989-1994,07-1989,male,centre-right
Giulio Cesare GALLENZI,1112,Italy,European People's Party,None,Democrazia cristiana ,1989-1994,07-1989,male,centre-right
Jas GAWRONSKI,1113,Italy,Liberal and Democratic Reformist Group,None,Polo laico ,1989-1994,07-1989,male,centre
Giovanni GORIA,1104,Italy,European People's Party,None,Democrazia cristiana ,1989-1994,07-1989,male,centre-right
Francesco GUIDOLIN,1089,Italy,European People's Party,None,Democrazia cristiana ,1989-1994,07-1989,male,centre-right
Franco IACONO,1105,Italy,Socialist Group,Socialist Group,Partito socialista italiano ,1989-1994,07-1989,male,centre-left
Renzo IMBENI,1106,Italy,Group for the European United Left,Socialist Group,Partito comunista italiano ,1989-1994,07-1989,male,left
Antonio IODICE,969,Italy,European People's Party,None,Democrazia cristiana ,1989-1994,07-1989,male,centre-right
Lelio LAGORIO,970,Italy,Socialist Group,Socialist Group,Partito socialista italiano ,1989-1994,07-1989,male,centre-left
Giorgio LA MALFA,1010,Italy,Liberal and Democratic Reformist Group,None,Partito repubblicano italiano ,1989-1994,07-1989,male,centre
Alexander LANGER,1107,Italy,The Green Group in the European Parliament,None,Verdi Europa ,1989-1994,07-1989,male,centre-left
Antonio LA PERGOLA,1108,Italy,Socialist Group,Socialist Group,Partito socialista italiano ,1989-1994,07-1989,male,centre-left
Nereo LARONI,1099,Italy,Socialist Group,Socialist Group,Partito socialista italiano ,1989-1994,07-1989,male,centre-left
Salvatore LIMA,991,Italy,European People's Party,None,Democrazia cristiana ,1989-1994,07-1989,male,centre-right
Calogero LO GIUDICE,982,Italy,European People's Party,None,Democrazia cristiana ,1989-1994,07-1989,male,centre-right
Maria MAGNANI NOYA,994,Italy,Socialist Group,None,Partito socialista italiano ,1989-1994,07-1989,female,centre-left
Vincenzo MATTINA,1011,Italy,Socialist Group,Socialist Group,Partito socialista italiano ,1989-1994,07-1989,male,centre-left
Eugenio MELANDRI,1080,Italy,The Green Group in the European Parliament,None,Democrazia proletaria ,1989-1994,07-1989,male,centre-left
Mario MELIS,1100,Italy,Rainbow Group,None,Unione Valdostana - Partito sardo d'azione ,1989-1994,07-1989,male,centre
Alberto MICHELINI,971,Italy,European People's Party,None,Democrazia cristiana ,1989-1994,07-1989,male,centre-right
Luigi MORETTI,1101,Italy,Rainbow Group,None,Lega lombarda ,1989-1994,07-1989,male,centre
Giuseppe MOTTOLA,1102,Italy,European People's Party,None,Democrazia cristiana ,1989-1994,07-1989,male,centre-right
Cristiana MUSCARDINI,1073,Italy,Non-attached Members,None,Movimento sociale italiano - Destra nazionale ,1989-1994,07-1989,female,Non aligned
Pasqualina NAPOLETANO,1065,Italy,Group for the European United Left,Socialist Group,Partito comunista italiano ,1989-1994,07-1989,female,left
Giorgio NAPOLITANO,1103,Italy,Group for the European United Left,None,Partito comunista italiano ,1989-1994,07-1989,male,left
Achille OCCHETTO,1094,Italy,Group for the European United Left,Socialist Group,Partito comunista italiano ,1989-1994,07-1989,male,left
Marco PANNELLA,1002,Italy,Non-attached Members,None,Polo laico ,1989-1994,07-1989,male,Non aligned
Ferruccio PISONI,1003,Italy,European People's Party,None,Democrazia cristiana ,1989-1994,07-1989,male,centre-right
Nino PISONI,983,Italy,European People's Party,None,Democrazia cristiana ,1989-1994,07-1989,male,centre-right
Giacomo PORRAZZINI,1095,Italy,Group for the European United Left,Socialist Group,Partito comunista italiano ,1989-1994,07-1989,male,left
Andrea RAGGIO,1004,Italy,Group for the European United Left,None,Partito comunista italiano ,1989-1994,07-1989,female,left
Giuseppe RAUTI,1005,Italy,Non-attached Members,None,Movimento sociale italiano - Destra nazionale ,1989-1994,07-1989,male,Non aligned
Tullio Eugenio REGGE,1096,Italy,Group for the European United Left,Socialist Group,Partito comunista italiano ,1989-1994,07-1989,male,left
Edoardo RONCHI,1097,Italy,The Green Group in the European Parliament,None,Verdi Arcobaleno ,1989-1994,07-1989,male,centre-left
Giorgio ROSSETTI,1006,Italy,Group for the European United Left,Socialist Group,Partito comunista italiano ,1989-1994,07-1989,male,left
