fullName,id,country,eu_group_1,eu_group_2,nation_group,term,start_period_1,gender,orientation
Ignazio CORRAO,124856,Italy,Group of the Greens/European Free Alliance,None,Independent,2019-2024,07-2019,male,centre-left
Beatrice COVASSI,240478,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Partito Democratico,2019-2024,07-2019,female,centre-left
Andrea COZZOLINO,96880,Italy,Non-attached Members,None,Partito Democratico,2019-2024,07-2019,female,Non aligned
Rosa D'AMATO,124835,Italy,Group of the Greens/European Free Alliance,None,Independent,2019-2024,07-2019,female,centre-left
Nicola DANTI,124821,Italy,Renew Europe Group,None,Azione - Italia Viva,2019-2024,07-2019,male,centre
Maria Angela DANZÌ,239258,Italy,Non-attached Members,None,Movimento 5 Stelle,2019-2024,07-2019,female,Non aligned
Gianantonio DA RE,197608,Italy,Identity and Democracy Group,None,Lega,2019-2024,07-2019,male,right
Elisabetta DE BLASIS,239262,Italy,Identity and Democracy Group,None,Lega,2019-2024,07-2019,female,right
Paolo DE CASTRO,96891,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Partito Democratico,2019-2024,07-2019,male,centre-left
Salvatore DE MEO,204333,Italy,European People's Party,None,Forza Italia,2019-2024,07-2019,male,centre-right
Francesca DONATO,197822,Italy,Non-attached Members,None,Independent,2019-2024,07-2019,female,Non aligned
Herbert DORFMANN,96787,Italy,European People's Party,None,Südtiroler Volkspartei,2019-2024,07-2019,male,centre-right
Giuseppe FERRANDINO,192634,Italy,Renew Europe Group,None,Azione - Italia Viva,2019-2024,07-2019,male,centre
Laura FERRARA,124833,Italy,Non-attached Members,None,Movimento 5 Stelle,2019-2024,07-2019,female,Non aligned
Carlo FIDANZA,96810,Italy,European Conservatives and Reformists Group,None,Fratelli d'Italia,2019-2024,07-2019,male,right
Pietro FIOCCHI,197607,Italy,European Conservatives and Reformists Group,None,Fratelli d'Italia,2019-2024,07-2019,male,right
Mario FURORE,197795,Italy,Non-attached Members,None,Movimento 5 Stelle,2019-2024,07-2019,male,Non aligned
Gianna GANCIA,197582,Italy,Identity and Democracy Group,None,Lega,2019-2024,07-2019,female,right
Matteo GAZZINI,239255,Italy,Identity and Democracy Group,None,Lega,2019-2024,07-2019,male,right
Chiara GEMMA,197794,Italy,European Conservatives and Reformists Group,None,Independent,2019-2024,07-2019,female,right
Paola GHIDONI,239256,Italy,Identity and Democracy Group,None,Lega,2019-2024,07-2019,female,right
Dino GIARRUSSO,197804,Italy,Non-attached Members,None,Independent,2019-2024,07-2019,male,Non aligned
Valentino GRANT,197799,Italy,Identity and Democracy Group,None,Lega,2019-2024,07-2019,male,right
Elisabetta GUALMINI,197618,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Partito Democratico,2019-2024,07-2019,female,centre-left
Danilo Oscar LANCINI,192635,Italy,Identity and Democracy Group,None,Lega,2019-2024,07-2019,male,right
Camilla LAURETI,230085,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Partito Democratico,2019-2024,07-2019,female,centre-left
Elena LIZZI,197611,Italy,Identity and Democracy Group,None,Lega,2019-2024,07-2019,female,right
Pierfrancesco MAJORINO,197592,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Partito Democratico,2019-2024,07-2019,male,centre-left
Fulvio MARTUSCIELLO,124828,Italy,European People's Party,None,Forza Italia,2019-2024,07-2019,male,centre-right
Giuseppe MILAZZO,197824,Italy,European Conservatives and Reformists Group,None,Fratelli d'Italia,2019-2024,07-2019,male,right
Alessandra MORETTI,124799,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Partito Democratico,2019-2024,07-2019,female,centre-left
Alessandra MUSSOLINI,28429,Italy,European People's Party,None,Forza Italia,2019-2024,07-2019,female,centre-right
Denis NESCI,239260,Italy,European Conservatives and Reformists Group,None,FRATELLI D' ITALIA,2019-2024,07-2019,male,right
Alessandro PANZA,99283,Italy,Identity and Democracy Group,None,Lega,2019-2024,07-2019,male,right
Aldo PATRICIELLO,36392,Italy,European People's Party,None,Forza Italia,2019-2024,07-2019,male,centre-right
Piernicola PEDICINI,124844,Italy,Group of the Greens/European Free Alliance,None,Independent,2019-2024,07-2019,male,centre-left
Pina PICIERNO,124846,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Partito Democratico,2019-2024,07-2019,female,centre-left
Sabrina PIGNEDOLI,197619,Italy,Non-attached Members,None,Movimento 5 Stelle,2019-2024,07-2019,female,Non aligned
Giuliano PISAPIA,197590,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Independent,2019-2024,07-2019,male,centre-left
Nicola PROCACCINI,197820,Italy,European Conservatives and Reformists Group,None,Fratelli d'Italia,2019-2024,07-2019,male,right
Luisa REGIMENTI,197790,Italy,European People's Party,None,Forza Italia,2019-2024,07-2019,female,centre-right
Antonio Maria RINALDI,197787,Italy,Identity and Democracy Group,None,Lega,2019-2024,07-2019,male,right
Franco ROBERTI,197801,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Partito Democratico,2019-2024,07-2019,male,centre-left
Daniela RONDINELLI,197792,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Partito Democratico,2019-2024,07-2019,female,centre-left
Massimiliano SALINI,125670,Italy,European People's Party,None,Forza Italia,2019-2024,07-2019,male,centre-right
Silvia SARDONE,197578,Italy,Identity and Democracy Group,None,Lega,2019-2024,07-2019,female,right
Massimiliano SMERIGLIO,197791,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Partito Democratico,2019-2024,07-2019,male,centre-left
Vincenzo SOFO,204334,Italy,European Conservatives and Reformists Group,None,Fratelli d'Italia,2019-2024,07-2019,male,right
Raffaele STANCANELLI,197825,Italy,European Conservatives and Reformists Group,None,Fratelli d'Italia,2019-2024,07-2019,male,right
Annalisa TARDINO,197806,Italy,Identity and Democracy Group,None,Lega,2019-2024,07-2019,female,right
Irene TINAGLI,197591,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Partito Democratico,2019-2024,07-2019,female,centre-left
Patrizia TOIA,28340,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Partito Democratico,2019-2024,07-2019,female,centre-left
Isabella TOVAGLIERI,197580,Italy,Identity and Democracy Group,None,Lega,2019-2024,07-2019,female,right
Achille VARIATI,239257,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Partito Democratico,2019-2024,07-2019,male,centre-left
Lucia VUOLO,197798,Italy,European People's Party,None,Forza Italia,2019-2024,07-2019,female,centre-right
Stefania ZAMBELLI,197586,Italy,Identity and Democracy Group,None,Lega,2019-2024,07-2019,female,right
Marco ZANNI,124780,Italy,Identity and Democracy Group,None,Lega,2019-2024,07-2019,male,right
Marco ZULLO,125237,Italy,Renew Europe Group,None,Independent,2019-2024,07-2019,male,centre
