fullName,id,country,eu_group_1,eu_group_2,nation_group,term,start_period_1,gender,orientation,mandate_length
Teresa JIMÉNEZ-BECERRIL BARRIO,96806,Spain,European People's Party,None,Partido Popular,2009-2014,07-2009,female,centre-right,2 terms (7-8)
Eva JOLY,96883,France,Group of the Greens/European Free Alliance,None,Europe Écologie,2009-2014,07-2009,female,centre-left,2 terms (7-8)
Dennis de JONG,96748,Netherlands,Confederal Group of the European United Left,None,Socialistische Partij,2009-2014,07-2009,male,left,2 terms (7-8)
Philippe JUVIN,96884,France,European People's Party,None,Union pour un Mouvement Populaire,2009-2014,07-2009,male,centre-right,2 terms (7-8)
Karin KADENBACH,97014,Austria,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Sozialdemokratische Partei Österreichs,2009-2014,07-2009,female,centre-left,2 terms (7-8)
Jarosław KALINOWSKI,96771,Poland,European People's Party,None,Polskie Stronnictwo Ludowe,2009-2014,07-2009,male,centre-right,2 terms (7-8)
Sandra KALNIETE,96934,Latvia,European People's Party,None,Pilsoniskā Savienība,2009-2014,07-2009,female,centre-right,2 terms (7-8)
Syed KAMALL,33569,United Kingdom,European Conservatives and Reformists Group,None,Conservative Party,2009-2014,07-2009,male,right,2 terms (7-8)
Petra KAMMEREVERT,96837,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Sozialdemokratische Partei Deutschlands,2009-2014,07-2009,female,centre-left,2 terms (7-8)
Othmar KARAS,4246,Austria,European People's Party,None,Österreichische Volkspartei,2009-2014,07-2009,male,centre-right,2 terms (7-8)
Sajjad KARIM,28481,United Kingdom,European Conservatives and Reformists Group,None,Conservative Party,2009-2014,07-2009,male,right,2 terms (7-8)
Krišjānis KARIŅŠ,96901,Latvia,European People's Party,None,Jaunais laiks,2009-2014,07-2009,male,centre-right,2 terms (7-8)
Tunne KELAM,28424,Estonia,European People's Party,None,Erakond Isamaa ja Res Publica Liit,2009-2014,07-2009,male,centre-right,2 terms (7-8)
Ska KELLER,96734,Germany,Group of the Greens/European Free Alliance,None,Bündnis 90/Die Grünen,2009-2014,07-2009,male,centre-left,2 terms (7-8)
Seán KELLY,96668,Ireland,European People's Party,None,Fine Gael Party,2009-2014,07-2009,male,centre-right,2 terms (7-8)
Timothy KIRKHOPE,4542,United Kingdom,European Conservatives and Reformists Group,None,Conservative Party,2009-2014,07-2009,male,right,2 terms (7-8)
Ádám KÓSA,96829,Hungary,European People's Party,None,Fidesz-Magyar Polgári Szövetség-Keresztény Demokrata Néppárt,2009-2014,07-2009,male,centre-right,2 terms (7-8)
Elisabeth KÖSTINGER,96882,Austria,European People's Party,None,Österreichische Volkspartei,2009-2014,07-2009,female,centre-right,2 terms (7-8)
Constanze KREHL,1854,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Sozialdemokratische Partei Deutschlands,2009-2014,07-2009,female,centre-left,2 terms (7-8)
Werner KUHN,96767,Germany,European People's Party,None,Christlich Demokratische Union Deutschlands,2009-2014,07-2009,male,centre-right,2 terms (7-8)
Eduard KUKAN,96651,Slovakia,European People's Party,None,Slovenská demokratická a kresťanská únia - Demokratická strana,2009-2014,07-2009,male,centre-right,2 terms (7-8)
Alain LAMASSOURE,1204,France,European People's Party,None,Union pour un Mouvement Populaire,2009-2014,07-2009,male,centre-right,2 terms (7-8)
Jean LAMBERT,4531,United Kingdom,Group of the Greens/European Free Alliance,None,Green Party,2009-2014,07-2009,female,centre-left,2 terms (7-8)
Philippe LAMBERTS,96648,Belgium,Group of the Greens/European Free Alliance,None,Ecologistes Confédérés pour l'Organisation de Luttes Originales,2009-2014,07-2009,male,centre-left,2 terms (7-8)
Alexander Graf LAMBSDORFF,28242,Germany,Group of the Alliance of Liberals and Democrats for Europe,None,Freie Demokratische Partei,2009-2014,07-2009,male,centre,2 terms (7-8)
Bernd LANGE,1909,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Sozialdemokratische Partei Deutschlands,2009-2014,07-2009,male,centre-left,2 terms (7-8)
Esther de LANGE,38398,Netherlands,European People's Party,None,Christen Democratisch Appèl,2009-2014,07-2009,female,centre-right,2 terms (7-8)
Werner LANGEN,1928,Germany,European People's Party,None,Christlich Demokratische Union Deutschlands,2009-2014,07-2009,male,centre-right,2 terms (7-8)
Giovanni LA VIA,96816,Italy,European People's Party,None,Il Popolo della Libertà,2009-2014,07-2009,male,centre-right,2 terms (7-8)
Ryszard Antoni LEGUTKO,96796,Poland,European Conservatives and Reformists Group,None,Prawo i Sprawiedliwość,2009-2014,07-2009,male,right,2 terms (7-8)
Patrick LE HYARIC,96735,France,Confederal Group of the European United Left,None,Front de gauche pour changer d’Europe,2009-2014,07-2009,male,left,2 terms (7-8)
Jörg LEICHTFRIED,28251,Austria,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Sozialdemokratische Partei Österreichs,2009-2014,07-2009,male,centre-left,2 terms (7-8)
Jo LEINEN,4262,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Sozialdemokratische Partei Deutschlands,2009-2014,07-2009,female,centre-left,2 terms (7-8)
Jean-Marie LE PEN,1023,France,Non-attached Members,None,Front national,2009-2014,07-2009,female,Non aligned,2 terms (7-8)
Marine LE PEN,28210,France,Non-attached Members,None,Front national,2009-2014,07-2009,female,Non aligned,2 terms (7-8)
Janusz LEWANDOWSKI,23781,Poland,European People's Party,None,Platforma Obywatelska,2009-2014,07-2009,male,centre-right,2 terms (7-8)
Bogusław LIBERADZKI,23768,Poland,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Sojusz Lewicy Demokratycznej,2009-2014,07-2009,male,centre-left,2 terms (7-8)
Peter LIESE,1927,Germany,European People's Party,None,Christlich Demokratische Union Deutschlands,2009-2014,07-2009,male,centre-right,2 terms (7-8)
Barbara LOCHBIHLER,96728,Germany,Group of the Greens/European Free Alliance,None,Bündnis 90/Die Grünen,2009-2014,07-2009,female,centre-left,2 terms (7-8)
