fullName,id,country,eu_group_1,eu_group_2,nation_group,term,start_period_1,gender,orientation,mandate_length
Sergei STANISHEV,124852,Bulgaria,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Bulgarian Socialist Party,2014-2019,07-2014,male,centre-left,2 terms (8-9)
Ivan ŠTEFANEC,124929,Slovakia,European People's Party,None,Slovenská demokratická a kresťanská únia - Demokratická strana,2014-2019,07-2014,male,centre-right,2 terms (8-9)
Paul TANG,125020,Netherlands,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Partij van de Arbeid,2014-2019,07-2014,male,centre-left,2 terms (8-9)
Romana TOMC,125104,Slovenia,European People's Party,None,Slovenska demokratska stranka,2014-2019,07-2014,female,centre-right,2 terms (8-9)
Yana TOOM,124700,Estonia,Group of the Alliance of Liberals and Democrats for Europe,None,Eesti Keskerakond,2014-2019,07-2014,female,centre,2 terms (8-9)
Nils TORVALDS,114268,Finland,Group of the Alliance of Liberals and Democrats for Europe,None,Svenska folkpartiet,2014-2019,07-2014,male,centre,2 terms (8-9)
István UJHELYI,124705,Hungary,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Magyar Szocialista Párt,2014-2019,07-2014,male,centre-left,2 terms (8-9)
Ernest URTASUN,124972,Spain,Group of the Greens/European Free Alliance,None,Iniciativa per Catalunya Verds,2014-2019,07-2014,male,centre-left,2 terms (8-9)
Monika VANA,124934,Austria,Group of the Greens/European Free Alliance,None,Die Grünen - Die Grüne Alternative,2014-2019,07-2014,female,centre-left,2 terms (8-9)
Johan VAN OVERTVELDT,125106,Belgium,European Conservatives and Reformists Group,None,Nieuw-Vlaamse Alliantie,2014-2019,07-2014,male,right,2 terms (8-9)
Harald VILIMSKY,125001,Austria,Non-attached Members,Europe of Nations and Freedom Group ,Freiheitliche Partei Österreichs,2014-2019,07-2014,male,Non aligned,2 terms (8-9)
Henna VIRKKUNEN,124726,Finland,European People's Party,None,Kansallinen Kokoomus,2014-2019,07-2014,female,centre-right,2 terms (8-9)
Anders VISTISEN,124875,Denmark,European Conservatives and Reformists Group,None,Dansk Folkeparti,2014-2019,07-2014,male,right,2 terms (8-9)
Elissavet VOZEMBERG-VRIONIDI,125065,Greece,European People's Party,None,Nea Demokratia,2014-2019,07-2014,female,centre-right,2 terms (8-9)
Jadwiga WIŚNIEWSKA,124877,Poland,European Conservatives and Reformists Group,None,Prawo i Sprawiedliwość,2014-2019,07-2014,female,right,2 terms (8-9)
Theodoros ZAGORAKIS,125067,Greece,European People's Party,None,Nea Demokratia,2014-2019,07-2014,male,centre-right,2 terms (8-9)
Marco ZANNI,124780,Italy,Europe of Freedom and Direct Democracy Group,Non-attached Members,Movimento 5 Stelle,2014-2019,07-2014,male,right,2 terms (8-9)
Tomáš ZDECHOVSKÝ,124713,Czechia,European People's Party,None,Křesťanská a demokratická unie - Československá strana lidová,2014-2019,07-2014,male,centre-right,2 terms (8-9)
Kosma ZŁOTOWSKI,124884,Poland,European Conservatives and Reformists Group,None,Prawo i Sprawiedliwość,2014-2019,07-2014,male,right,2 terms (8-9)
Carlos ZORRINHO,124739,Portugal,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Partido Socialista,2014-2019,07-2014,male,centre-left,2 terms (8-9)
Marco ZULLO,125237,Italy,Europe of Freedom and Direct Democracy Group,Non-attached Members,Movimento 5 Stelle,2014-2019,07-2014,male,right,2 terms (8-9)
François ALFONSI,96750,France,Group of the Greens/European Free Alliance,None,Partitu di a Nazione Corsa,2009-2014,07-2009,male,centre-left,2 terms (7-9)
Pablo ARIAS ECHEVERRÍA,96808,Spain,European People's Party,None,Partido Popular,2009-2014,07-2009,male,centre-right,2 terms (7-9)
Margrete AUKEN,28161,Denmark,Group of the Greens/European Free Alliance,None,Socialistisk Folkeparti,2009-2014,07-2009,female,centre-left,2 terms (7-9)
Monika BEŇOVÁ,23868,Slovakia,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,SMER-Sociálna demokracia,2009-2014,07-2009,female,centre-left,2 terms (7-9)
Sergio BERLATO,4746,Italy,European People's Party,None,Il Popolo della Libertà,2009-2014,07-2009,male,centre-right,2 terms (7-9)
Adam BIELAN,23788,Poland,European Conservatives and Reformists Group,None,Prawo i Sprawiedliwość,2009-2014,07-2009,male,right,2 terms (7-9)
Izaskun BILBAO BARANDICA,96922,Spain,Group of the Alliance of Liberals and Democrats for Europe,None,Partido Nacionalista Vasco,2009-2014,07-2009,female,centre,2 terms (7-9)
Vilija BLINKEVIČIŪTĖ,96681,Lithuania,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Lietuvos socialdemokratų partija,2009-2014,07-2009,female,centre-left,2 terms (7-9)
Udo BULLMANN,4267,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Sozialdemokratische Partei Deutschlands,2009-2014,07-2009,male,centre-left,2 terms (7-9)
Cristian-Silviu BUŞOI,38420,Romania,Group of the Alliance of Liberals and Democrats for Europe,None,Partidul Naţional Liberal,2009-2014,07-2009,male,centre,2 terms (7-9)
Reinhard BÜTIKOFER,96739,Germany,Group of the Greens/European Free Alliance,None,Bündnis 90/Die Grünen,2009-2014,07-2009,male,centre-left,2 terms (7-9)
Jerzy BUZEK,28269,Poland,European People's Party,None,Platforma Obywatelska,2009-2014,07-2009,male,centre-right,2 terms (7-9)
Pascal CANFIN,96711,France,Group of the Greens/European Free Alliance,None,Europe Écologie,2009-2014,07-2009,male,centre-left,2 terms (7-9)
Maria da Graça CARVALHO,96867,Portugal,European People's Party,None,Partido Social Democrata,2009-2014,07-2009,female,centre-right,2 terms (7-9)
David CASA,28122,Malta,European People's Party,None,Partit Nazzjonalista,2009-2014,07-2009,male,centre-right,2 terms (7-9)
Daniel CASPARY,28219,Germany,European People's Party,None,Christlich Demokratische Union Deutschlands,2009-2014,07-2009,male,centre-right,2 terms (7-9)
Pilar del CASTILLO VERA,28390,Spain,European People's Party,None,Partido Popular,2009-2014,07-2009,female,centre-right,2 terms (7-9)
Lara COMI,96775,Italy,European People's Party,None,Il Popolo della Libertà,2009-2014,07-2009,female,centre-right,2 terms (7-9)
Andrea COZZOLINO,96880,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Partito Democratico,2009-2014,07-2009,female,centre-left,2 terms (7-9)
Corina CREȚU,33997,Romania,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Partidul Social Democrat,2009-2014,07-2009,female,centre-left,2 terms (7-9)
Ryszard CZARNECKI,28372,Poland,European Conservatives and Reformists Group,None,Prawo i Sprawiedliwość,2009-2014,07-2009,male,right,2 terms (7-9)
Peter van DALEN,96809,Netherlands,European Conservatives and Reformists Group,None,ChristenUnie - Staatkundig Gereformeerde Parti,2009-2014,07-2009,male,right,2 terms (7-9)
Arnaud DANJEAN,96747,France,European People's Party,None,Union pour un Mouvement Populaire,2009-2014,07-2009,male,centre-right,2 terms (7-9)
Paolo DE CASTRO,96891,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Partito Democratico,2009-2014,07-2009,male,centre-left,2 terms (7-9)
Karima DELLI,96868,France,Group of the Greens/European Free Alliance,None,Europe Écologie,2009-2014,07-2009,female,centre-left,2 terms (7-9)
Tamás DEUTSCH,96826,Hungary,European People's Party,None,Fidesz-Magyar Polgári Szövetség-Keresztény Demokrata Néppárt,2009-2014,07-2009,male,centre-right,2 terms (7-9)
Herbert DORFMANN,96787,Italy,European People's Party,None,Südtiroler Volkspartei,2009-2014,07-2009,male,centre-right,2 terms (7-9)
Christian EHLER,28226,Germany,European People's Party,None,Christlich Demokratische Union Deutschlands,2009-2014,07-2009,male,centre-right,2 terms (7-9)
Bas EICKHOUT,96725,Netherlands,Group of the Greens/European Free Alliance,None,GroenLinks,2009-2014,07-2009,female,centre-left,2 terms (7-9)
Cornelia ERNST,96852,Germany,Confederal Group of the European United Left,None,DIE LINKE.,2009-2014,07-2009,female,left,2 terms (7-9)
Ismail ERTUG,96842,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Sozialdemokratische Partei Deutschlands,2009-2014,07-2009,male,centre-left,2 terms (7-9)
Rosa ESTARÀS FERRAGUT,96811,Spain,European People's Party,None,Partido Popular,2009-2014,07-2009,female,centre-right,2 terms (7-9)
Markus FERBER,1917,Germany,European People's Party,None,Christlich-Soziale Union in Bayern e.V.,2009-2014,07-2009,male,centre-right,2 terms (7-9)
José Manuel FERNANDES,96899,Portugal,European People's Party,None,Partido Social Democrata,2009-2014,07-2009,male,centre-right,2 terms (7-9)
Carlo FIDANZA,96810,Italy,European People's Party,None,Il Popolo della Libertà,2009-2014,07-2009,male,centre-right,2 terms (7-9)
Michael GAHLER,2341,Germany,European People's Party,None,Christlich Demokratische Union Deutschlands,2009-2014,07-2009,male,centre-right,2 terms (7-9)
Kinga GÁL,28150,Hungary,European People's Party,None,Fidesz-Magyar Polgári Szövetség-Keresztény Demokrata Néppárt,2009-2014,07-2009,female,centre-right,2 terms (7-9)
José Manuel GARCÍA-MARGALLO Y MARFIL,1992,Spain,European People's Party,None,Partido Popular,2009-2014,07-2009,male,centre-right,2 terms (7-9)
Iratxe GARCÍA PÉREZ,28298,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Partido Socialista Obrero Español,2009-2014,07-2009,female,centre-left,2 terms (7-9)
Eider GARDIAZABAL RUBIAL,96991,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Partido Socialista Obrero Español,2009-2014,07-2009,female,centre-left,2 terms (7-9)
Jens GEIER,96833,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Sozialdemokratische Partei Deutschlands,2009-2014,07-2009,male,centre-left,2 terms (7-9)
Charles GOERENS,840,Luxembourg,Group of the Alliance of Liberals and Democrats for Europe,None,Parti démocratique,2009-2014,07-2009,male,centre,2 terms (7-9)
Sylvie GUILLAUME,96952,France,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Parti socialiste,2009-2014,07-2009,female,centre-left,2 terms (7-9)
Enikő GYŐRI,96830,Hungary,European People's Party,None,Fidesz-Magyar Polgári Szövetség-Keresztény Demokrata Néppárt,2009-2014,07-2009,female,centre-right,2 terms (7-9)
András GYÜRK,23816,Hungary,European People's Party,None,Fidesz-Magyar Polgári Szövetség-Keresztény Demokrata Néppárt,2009-2014,07-2009,male,centre-right,2 terms (7-9)
Martin HÄUSLING,96752,Germany,Group of the Greens/European Free Alliance,None,Bündnis 90/Die Grünen,2009-2014,07-2009,male,centre-left,2 terms (7-9)
Heidi HAUTALA,2054,Finland,Group of the Greens/European Free Alliance,None,Vihreä liitto,2009-2014,07-2009,female,centre-left,2 terms (7-9)
Monika HOHLMEIER,96780,Germany,European People's Party,None,Christlich-Soziale Union in Bayern e.V.,2009-2014,07-2009,female,centre-right,2 terms (7-9)
Danuta Maria HÜBNER,96779,Poland,European People's Party,None,Platforma Obywatelska,2009-2014,07-2009,female,centre-right,2 terms (7-9)
Sophia IN 'T VELD,28266,Netherlands,Group of the Alliance of Liberals and Democrats for Europe,None,Democraten 66,2009-2014,07-2009,female,centre,2 terms (7-9)
Yannick JADOT,96740,France,Group of the Greens/European Free Alliance,None,Europe Écologie,2009-2014,07-2009,male,centre-left,2 terms (7-9)
Peter JAHR,96772,Germany,European People's Party,None,Christlich Demokratische Union Deutschlands,2009-2014,07-2009,male,centre-right,2 terms (7-9)
Lívia JÁRÓKA,28141,Hungary,European People's Party,None,Fidesz-Magyar Polgári Szövetség-Keresztény Demokrata Néppárt,2009-2014,07-2009,female,centre-right,2 terms (7-9)
Jarosław KALINOWSKI,96771,Poland,European People's Party,None,Polskie Stronnictwo Ludowe,2009-2014,07-2009,male,centre-right,2 terms (7-9)
Sandra KALNIETE,96934,Latvia,European People's Party,None,Pilsoniskā Savienība,2009-2014,07-2009,female,centre-right,2 terms (7-9)
Petra KAMMEREVERT,96837,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Sozialdemokratische Partei Deutschlands,2009-2014,07-2009,female,centre-left,2 terms (7-9)
Othmar KARAS,4246,Austria,European People's Party,None,Österreichische Volkspartei,2009-2014,07-2009,male,centre-right,2 terms (7-9)
Ska KELLER,96734,Germany,Group of the Greens/European Free Alliance,None,Bündnis 90/Die Grünen,2009-2014,07-2009,male,centre-left,2 terms (7-9)
Seán KELLY,96668,Ireland,European People's Party,None,Fine Gael Party,2009-2014,07-2009,male,centre-right,2 terms (7-9)
Ádám KÓSA,96829,Hungary,European People's Party,None,Fidesz-Magyar Polgári Szövetség-Keresztény Demokrata Néppárt,2009-2014,07-2009,male,centre-right,2 terms (7-9)
Philippe LAMBERTS,96648,Belgium,Group of the Greens/European Free Alliance,None,Ecologistes Confédérés pour l'Organisation de Luttes Originales,2009-2014,07-2009,male,centre-left,2 terms (7-9)
Bernd LANGE,1909,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Sozialdemokratische Partei Deutschlands,2009-2014,07-2009,male,centre-left,2 terms (7-9)
Esther de LANGE,38398,Netherlands,European People's Party,None,Christen Democratisch Appèl,2009-2014,07-2009,female,centre-right,2 terms (7-9)
Ryszard Antoni LEGUTKO,96796,Poland,European Conservatives and Reformists Group,None,Prawo i Sprawiedliwość,2009-2014,07-2009,male,right,2 terms (7-9)
Janusz LEWANDOWSKI,23781,Poland,European People's Party,None,Platforma Obywatelska,2009-2014,07-2009,male,centre-right,2 terms (7-9)
Bogusław LIBERADZKI,23768,Poland,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Sojusz Lewicy Demokratycznej,2009-2014,07-2009,male,centre-left,2 terms (7-9)
Peter LIESE,1927,Germany,European People's Party,None,Christlich Demokratische Union Deutschlands,2009-2014,07-2009,male,centre-right,2 terms (7-9)
Morten LØKKEGAARD,96709,Denmark,Group of the Alliance of Liberals and Democrats for Europe,None,"Venstre, Danmarks Liberale Parti",2009-2014,07-2009,male,centre,2 terms (7-9)
Juan Fernando LÓPEZ AGUILAR,96812,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Partido Socialista Obrero Español,2009-2014,07-2009,male,centre-left,2 terms (7-9)
Antonio LÓPEZ-ISTÚRIZ WHITE,28399,Spain,European People's Party,None,Partido Popular,2009-2014,07-2009,male,centre-right,2 terms (7-9)
Elżbieta Katarzyna ŁUKACIJEWSKA,96791,Poland,European People's Party,None,Platforma Obywatelska,2009-2014,07-2009,female,centre-right,2 terms (7-9)
Antonius MANDERS,4560,Netherlands,Group of the Alliance of Liberals and Democrats for Europe,None,Volkspartij voor Vrijheid en Democratie,2009-2014,07-2009,male,centre,2 terms (7-9)
Marisa MATIAS,96820,Portugal,Confederal Group of the European United Left,None,Bloco de Esquerda,2009-2014,07-2009,female,left,2 terms (7-9)
Gabriel MATO,96936,Spain,European People's Party,None,Partido Popular,2009-2014,07-2009,male,centre-right,2 terms (7-9)
Nuno MELO,96978,Portugal,European People's Party,None,Partido Popular,2009-2014,07-2009,male,centre-right,2 terms (7-9)
Francisco José MILLÁN MON,28400,Spain,European People's Party,None,Partido Popular,2009-2014,07-2009,male,centre-right,2 terms (7-9)
Angelika NIEBLER,4289,Germany,European People's Party,None,Christlich-Soziale Union in Bayern e.V.,2009-2014,07-2009,female,centre-right,2 terms (7-9)
Jan OLBRYCHT,28288,Poland,European People's Party,None,Platforma Obywatelska,2009-2014,07-2009,male,centre-right,2 terms (7-9)
Aldo PATRICIELLO,36392,Italy,European People's Party,None,Il Popolo della Libertà,2009-2014,07-2009,male,centre-right,2 terms (7-9)
Markus PIEPER,28224,Germany,European People's Party,None,Christlich Demokratische Union Deutschlands,2009-2014,07-2009,male,centre-right,2 terms (7-9)
Sirpa PIETIKÄINEN,40599,Finland,European People's Party,None,Kansallinen Kokoomus,2009-2014,07-2009,female,centre-right,2 terms (7-9)
Rovana PLUMB,38595,Romania,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Partidul Social Democrat,2009-2014,07-2009,female,centre-left,2 terms (7-9)
Tomasz Piotr PORĘBA,96801,Poland,European Conservatives and Reformists Group,None,Prawo i Sprawiedliwość,2009-2014,07-2009,male,right,2 terms (7-9)
Paulo RANGEL,96903,Portugal,European People's Party,None,Partido Social Democrata,2009-2014,07-2009,male,centre-right,2 terms (7-9)
Evelyn REGNER,96998,Austria,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Sozialdemokratische Partei Österreichs,2009-2014,07-2009,female,centre-left,2 terms (7-9)
Frédérique RIES,4253,Belgium,Group of the Alliance of Liberals and Democrats for Europe,None,Mouvement Réformateur,2009-2014,07-2009,female,centre,2 terms (7-9)
Dominique RIQUET,96885,France,European People's Party,None,Union pour un Mouvement Populaire - Parti Radical,2009-2014,07-2009,male,centre-right,2 terms (7-9)
Michèle RIVASI,96743,France,Group of the Greens/European Free Alliance,None,Europe Écologie,2009-2014,07-2009,female,centre-left,2 terms (7-9)
Katarína ROTH NEVEĎALOVÁ,96653,Slovakia,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,SMER-Sociálna demokracia,2009-2014,07-2009,female,centre-left,2 terms (7-9)
Jacek SARYUSZ-WOLSKI,28297,Poland,European People's Party,None,Platforma Obywatelska,2009-2014,07-2009,male,centre-right,2 terms (7-9)
Christel SCHALDEMOSE,37312,Denmark,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Socialdemokratiet,2009-2014,07-2009,female,centre-left,2 terms (7-9)
Helmut SCHOLZ,96646,Germany,Confederal Group of the European United Left,None,DIE LINKE.,2009-2014,07-2009,male,left,2 terms (7-9)
Andreas SCHWAB,28223,Germany,European People's Party,None,Christlich Demokratische Union Deutschlands,2009-2014,07-2009,male,centre-right,2 terms (7-9)
Birgit SIPPEL,96932,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Sozialdemokratische Partei Deutschlands,2009-2014,07-2009,female,centre-left,2 terms (7-9)
Marc TARABELLA,29579,Belgium,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Parti Socialiste,2009-2014,07-2009,male,centre-left,2 terms (7-9)
Róża THUN UND HOHENSTEIN,96776,Poland,European People's Party,None,Platforma Obywatelska,2009-2014,07-2009,female,centre-right,2 terms (7-9)
Patrizia TOIA,28340,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Partito Democratico,2009-2014,07-2009,female,centre-left,2 terms (7-9)
Waldemar TOMASZEWSKI,96697,Lithuania,European Conservatives and Reformists Group,None,Lietuvos lenkų rinkimų akcija,2009-2014,07-2009,male,right,2 terms (7-9)
Viktor USPASKICH,96698,Lithuania,Group of the Alliance of Liberals and Democrats for Europe,None,Darbo partija,2009-2014,07-2009,male,centre,2 terms (7-9)
Inese VAIDERE,28617,Latvia,European People's Party,None,Pilsoniskā Savienība,2009-2014,07-2009,female,centre-right,2 terms (7-9)
Kathleen VAN BREMPT,5729,Belgium,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Socialistische Partij.Anders,2009-2014,07-2009,female,centre-left,2 terms (7-9)
Sabine VERHEYEN,96756,Germany,European People's Party,None,Christlich Demokratische Union Deutschlands,2009-2014,07-2009,female,centre-right,2 terms (7-9)
Guy VERHOFSTADT,97058,Belgium,Group of the Alliance of Liberals and Democrats for Europe,None,Open Vlaamse Liberalen en Democraten,2009-2014,07-2009,male,centre,2 terms (7-9)
Axel VOSS,96761,Germany,European People's Party,None,Christlich Demokratische Union Deutschlands,2009-2014,07-2009,male,centre-right,2 terms (7-9)
Manfred WEBER,28229,Germany,European People's Party,None,Christlich-Soziale Union in Bayern e.V.,2009-2014,07-2009,male,centre-right,2 terms (7-9)
Rainer WIELAND,2323,Germany,European People's Party,None,Christlich Demokratische Union Deutschlands,2009-2014,07-2009,male,centre-right,2 terms (7-9)
Iuliu WINKLER,39725,Romania,European People's Party,None,Uniunea Democrată Maghiară din România,2009-2014,07-2009,male,centre-right,2 terms (7-9)
Jan ZAHRADIL,23712,Czechia,European Conservatives and Reformists Group,None,Občanská demokratická strana,2009-2014,07-2009,male,right,2 terms (7-9)
Tatjana ŽDANOKA,28619,Latvia,Group of the Greens/European Free Alliance,None,Par cilvēka tiesībām vienotā Latvijā,2009-2014,07-2009,female,centre-left,2 terms (7-9)
Roberts ZĪLE,28615,Latvia,European Conservatives and Reformists Group,None,Tēvzemei un Brīvībai/LNNK,2009-2014,07-2009,male,right,2 terms (7-9)
Milan ZVER,96933,Slovenia,European People's Party,None,Slovenska demokratska stranka,2009-2014,07-2009,male,centre-right,2 terms (7-9)
Marian-Jean MARINESCU,33982,Romania,European People's Party,None,Partidul Democrat-Liberal,2009-2014,07-2009,male,centre-right,2 terms (7-9)
Evžen TOŠENOVSKÝ,96713,Czechia,European Conservatives and Reformists Group,None,Občanská demokratická strana,2009-2014,07-2009,male,right,2 terms (7-9)
Margrete AUKEN,28161,Denmark,Group of the Greens/European Free Alliance,None,Socialistisk Folkeparti,2009-2014,07-2009,female,centre-left,3 terms
Monika BEŇOVÁ,23868,Slovakia,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,SMER-Sociálna demokracia,2009-2014,07-2009,female,centre-left,3 terms
Izaskun BILBAO BARANDICA,96922,Spain,Group of the Alliance of Liberals and Democrats for Europe,None,Partido Nacionalista Vasco,2009-2014,07-2009,female,centre,3 terms
Vilija BLINKEVIČIŪTĖ,96681,Lithuania,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Lietuvos socialdemokratų partija,2009-2014,07-2009,female,centre-left,3 terms
Udo BULLMANN,4267,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Sozialdemokratische Partei Deutschlands,2009-2014,07-2009,male,centre-left,3 terms
Cristian-Silviu BUŞOI,38420,Romania,Group of the Alliance of Liberals and Democrats for Europe,None,Partidul Naţional Liberal,2009-2014,07-2009,male,centre,3 terms
Reinhard BÜTIKOFER,96739,Germany,Group of the Greens/European Free Alliance,None,Bündnis 90/Die Grünen,2009-2014,07-2009,male,centre-left,3 terms
Jerzy BUZEK,28269,Poland,European People's Party,None,Platforma Obywatelska,2009-2014,07-2009,male,centre-right,3 terms
David CASA,28122,Malta,European People's Party,None,Partit Nazzjonalista,2009-2014,07-2009,male,centre-right,3 terms
Daniel CASPARY,28219,Germany,European People's Party,None,Christlich Demokratische Union Deutschlands,2009-2014,07-2009,male,centre-right,3 terms
Pilar del CASTILLO VERA,28390,Spain,European People's Party,None,Partido Popular,2009-2014,07-2009,female,centre-right,3 terms
Lara COMI,96775,Italy,European People's Party,None,Il Popolo della Libertà,2009-2014,07-2009,female,centre-right,3 terms
Andrea COZZOLINO,96880,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Partito Democratico,2009-2014,07-2009,female,centre-left,3 terms
Corina CREȚU,33997,Romania,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Partidul Social Democrat,2009-2014,07-2009,female,centre-left,3 terms
Ryszard CZARNECKI,28372,Poland,European Conservatives and Reformists Group,None,Prawo i Sprawiedliwość,2009-2014,07-2009,male,right,3 terms
Peter van DALEN,96809,Netherlands,European Conservatives and Reformists Group,None,ChristenUnie - Staatkundig Gereformeerde Parti,2009-2014,07-2009,male,right,3 terms
Arnaud DANJEAN,96747,France,European People's Party,None,Union pour un Mouvement Populaire,2009-2014,07-2009,male,centre-right,3 terms
Paolo DE CASTRO,96891,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Partito Democratico,2009-2014,07-2009,male,centre-left,3 terms
Karima DELLI,96868,France,Group of the Greens/European Free Alliance,None,Europe Écologie,2009-2014,07-2009,female,centre-left,3 terms
Tamás DEUTSCH,96826,Hungary,European People's Party,None,Fidesz-Magyar Polgári Szövetség-Keresztény Demokrata Néppárt,2009-2014,07-2009,male,centre-right,3 terms
Herbert DORFMANN,96787,Italy,European People's Party,None,Südtiroler Volkspartei,2009-2014,07-2009,male,centre-right,3 terms
Christian EHLER,28226,Germany,European People's Party,None,Christlich Demokratische Union Deutschlands,2009-2014,07-2009,male,centre-right,3 terms
Bas EICKHOUT,96725,Netherlands,Group of the Greens/European Free Alliance,None,GroenLinks,2009-2014,07-2009,female,centre-left,3 terms
Cornelia ERNST,96852,Germany,Confederal Group of the European United Left,None,DIE LINKE.,2009-2014,07-2009,female,left,3 terms
Ismail ERTUG,96842,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Sozialdemokratische Partei Deutschlands,2009-2014,07-2009,male,centre-left,3 terms
Rosa ESTARÀS FERRAGUT,96811,Spain,European People's Party,None,Partido Popular,2009-2014,07-2009,female,centre-right,3 terms
Markus FERBER,1917,Germany,European People's Party,None,Christlich-Soziale Union in Bayern e.V.,2009-2014,07-2009,male,centre-right,3 terms
José Manuel FERNANDES,96899,Portugal,European People's Party,None,Partido Social Democrata,2009-2014,07-2009,male,centre-right,3 terms
Michael GAHLER,2341,Germany,European People's Party,None,Christlich Demokratische Union Deutschlands,2009-2014,07-2009,male,centre-right,3 terms
Kinga GÁL,28150,Hungary,European People's Party,None,Fidesz-Magyar Polgári Szövetség-Keresztény Demokrata Néppárt,2009-2014,07-2009,female,centre-right,3 terms
Iratxe GARCÍA PÉREZ,28298,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Partido Socialista Obrero Español,2009-2014,07-2009,female,centre-left,3 terms
Eider GARDIAZABAL RUBIAL,96991,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Partido Socialista Obrero Español,2009-2014,07-2009,female,centre-left,3 terms
Jens GEIER,96833,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Sozialdemokratische Partei Deutschlands,2009-2014,07-2009,male,centre-left,3 terms
Charles GOERENS,840,Luxembourg,Group of the Alliance of Liberals and Democrats for Europe,None,Parti démocratique,2009-2014,07-2009,male,centre,3 terms
Sylvie GUILLAUME,96952,France,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Parti socialiste,2009-2014,07-2009,female,centre-left,3 terms
András GYÜRK,23816,Hungary,European People's Party,None,Fidesz-Magyar Polgári Szövetség-Keresztény Demokrata Néppárt,2009-2014,07-2009,male,centre-right,3 terms
Martin HÄUSLING,96752,Germany,Group of the Greens/European Free Alliance,None,Bündnis 90/Die Grünen,2009-2014,07-2009,male,centre-left,3 terms
Heidi HAUTALA,2054,Finland,Group of the Greens/European Free Alliance,None,Vihreä liitto,2009-2014,07-2009,female,centre-left,3 terms
Monika HOHLMEIER,96780,Germany,European People's Party,None,Christlich-Soziale Union in Bayern e.V.,2009-2014,07-2009,female,centre-right,3 terms
Danuta Maria HÜBNER,96779,Poland,European People's Party,None,Platforma Obywatelska,2009-2014,07-2009,female,centre-right,3 terms
Sophia IN 'T VELD,28266,Netherlands,Group of the Alliance of Liberals and Democrats for Europe,None,Democraten 66,2009-2014,07-2009,female,centre,3 terms
Yannick JADOT,96740,France,Group of the Greens/European Free Alliance,None,Europe Écologie,2009-2014,07-2009,male,centre-left,3 terms
Peter JAHR,96772,Germany,European People's Party,None,Christlich Demokratische Union Deutschlands,2009-2014,07-2009,male,centre-right,3 terms
Jarosław KALINOWSKI,96771,Poland,European People's Party,None,Polskie Stronnictwo Ludowe,2009-2014,07-2009,male,centre-right,3 terms
Sandra KALNIETE,96934,Latvia,European People's Party,None,Pilsoniskā Savienība,2009-2014,07-2009,female,centre-right,3 terms
Petra KAMMEREVERT,96837,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Sozialdemokratische Partei Deutschlands,2009-2014,07-2009,female,centre-left,3 terms
