fullName,id,country,eu_group_1,eu_group_2,term,nation_group,start_period_1,gender
Michel DEBATISSE,1710,France,Group of the European People's Party (Christian,None,1989-1994,Centre des démocrates sociaux ,04-1992,male
Willy C.E.H. DE CLERCQ,1296,Belgium,Liberal and Democratic Reformist Group,None,1989-1994,Partij voor vrijheid en vooruitgang ,07-1989,male
Jean P.M.O.G. DEFRAIGNE,1297,Belgium,Liberal and Democratic Reformist Group,None,1989-1994,Parti réformateur libéral ,07-1989,female
Biagio DE GIOVANNI,1130,Italy,Group for the European United Left,Socialist Group,1989-1994,Partito comunista italiano ,07-1989,male
Karel DE GUCHT,1472,Belgium,Liberal and Democratic Reformist Group,None,1989-1994,Partij voor vrijheid en vooruitgang ,07-1989,male
Claude A.F. DELCROIX,1830,Belgium,Socialist Group,Group of the Party of European Socialists,1989-1994,Parti socialiste ,12-1991,male
Robert DELOROZOY,1703,France,Liberal and Democratic Reformist Group,None,1989-1994,Parti républicain ,03-1993,male
Aldo DE MATTEO,1863,Italy,Group of the European People's Party (Christian,None,1989-1994,Democrazia cristiana ,03-1992,male
Marie-José DENYS,1001,France,Socialist Group,Group of the Party of European Socialists,1989-1994,Parti socialiste ,07-1989,female
Cesare DE PICCOLI,1131,Italy,Group for the European United Left,Socialist Group,1989-1994,Partito comunista italiano ,07-1989,male
Gérard DEPREZ,1473,Belgium,Group of the European People's Party (Christian,None,1989-1994,Parti social-chrétien ,07-1989,male
Proinsias DE ROSSA,1289,Ireland,Left Unity,None,1989-1994,Workers' Party ,07-1989,male
Claude J.-M.J. DESAMA,1474,Belgium,Socialist Group,Group of the Party of European Socialists,1989-1994,Parti socialiste ,07-1989,male
Andrea Carmine DE SIMONE,2100,Italy,Group of the Party of European Socialists,None,1989-1994,Partito democratico della sinistra ,05-1994,female
Barry DESMOND,1279,Ireland,Socialist Group,Group of the Party of European Socialists,1989-1994,Labour Party ,07-1989,male
Dimitrios DESSYLAS,1465,Greece,Left Unity,None,1989-1994,Synaspismos tis Aristeras kai tis Proodou ,07-1989,male
Lorenzo DE VITTO,1088,Italy,Group of the European People's Party (Christian,None,1989-1994,Democrazia cristiana ,07-1989,male
Gijs M. de VRIES,1454,Netherlands,Liberal and Democratic Reformist Group,None,1989-1994,Volkspartij voor Vrijheid en Democratie ,07-1989,male
Mario DIDO',1699,Italy,Socialist Group,Group of the Party of European Socialists,1989-1994,Partito socialista italiano ,05-1992,male
Carmen DÍEZ DE RIVERA ICAZA,1312,Spain,Socialist Group,Group of the Party of European Socialists,1989-1994,Partido Socialista Obrero Español ,07-1989,female
Nel B.M. van DIJK,1433,Netherlands,The Green Group in the European Parliament,None,1989-1994,Regenboog/Communistische Partij Nederland ,07-1989,female
Karel C.C. DILLEN,1298,Belgium,Technical Group of the European Right,None,1989-1994,Vlaams Blok ,07-1989,male
Marguerite-Marie DINGUIRARD,1836,France,The Green Group in the European Parliament,None,1989-1994,Les Verts-Europe-Ecologie ,12-1991,female
Elio DI RUPO,1294,Belgium,Socialist Group,None,1989-1994,Parti socialiste ,07-1989,male
Mireille Conception DOMENECH,1125,France,Left Unity,None,1989-1994,Parti communiste français ,07-1989,female
Teresa DOMINGO SEGARRA,1000,Spain,Group for the European United Left,Non-attached Members,1989-1994,Izquierda Unida ,07-1989,female
François-Xavier G.M.J.C.H. de DONNEA,1290,Belgium,Liberal and Democratic Reformist Group,None,1989-1994,Parti réformateur libéral ,07-1989,male
Alan John DONNELLY,1315,United Kingdom,Socialist Group,Group of the Party of European Socialists,1989-1994,Labour Party ,07-1989,male
Philippe J.G. DOUSTE-BLAZY,1028,France,Group of the European People's Party (Christian,None,1989-1994,Union pour la démocratie française ,07-1989,male
José Manuel DUARTE CENDÁN,232,Spain,Socialist Group,Group of the Party of European Socialists,1989-1994,Partido Socialista Obrero Español ,09-1990,male
