fullName,country,eu_group_1,id,nation_group,term,eu_group_2,start_period_1,gender
Jens GEIER,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,96833,Sozialdemokratische Partei Deutschlands,2019-2024,None,07-2019,male
Chiara GEMMA,Italy,European Conservatives and Reformists Group,197794,Independent,2019-2024,None,07-2019,female
Giorgos GEORGIOU,Cyprus,The Left group in the European Parliament - GUE/NGL,197416,Progressive Party of Working People - Left - New Forces,2019-2024,None,07-2019,male
Alexis GEORGOULIS,Greece,The Left group in the European Parliament - GUE/NGL,197819,Coalition of the Radical Left,2019-2024,None,07-2019,male
Helmut GEUKING,Germany,Group of the European People's Party (Christian Democrats),197436,Familien-Partei Deutschlands,2019-2024,None,07-2019,male
Vlad GHEORGHE,Romania,Renew Europe Group,209140,Uniunea Salvați România,2019-2024,None,07-2019,male
Paola GHIDONI,Italy,Identity and Democracy Group,239256,Lega,2019-2024,None,07-2019,female
Dino GIARRUSSO,Italy,Non-attached Members,197804,Independent,2019-2024,None,07-2019,male
Jens GIESEKE,Germany,Group of the European People's Party (Christian Democrats),124807,Christlich Demokratische Union Deutschlands,2019-2024,None,07-2019,male
Andreas GLÜCK,Germany,Renew Europe Group,197443,Freie Demokratische Partei,2019-2024,None,07-2019,male
Raphaël GLUCKSMANN,France,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197694,Place publique,2019-2024,None,07-2019,male
Charles GOERENS,Luxembourg,Renew Europe Group,840,Parti démocratique,2019-2024,None,07-2019,male
Mónica Silvana GONZÁLEZ,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197728,Partido Socialista Obrero Español,2019-2024,None,07-2019,female
Nicolás GONZÁLEZ CASARES,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197718,Partido Socialista Obrero Español,2019-2024,None,07-2019,male
Esteban GONZÁLEZ PONS,Spain,Group of the European People's Party (Christian Democrats),125027,Partido Popular,2019-2024,None,07-2019,male
Sandro GOZI,France,Renew Europe Group,204419,Liste Renaissance,2019-2024,None,07-2019,male
Marcel de GRAAFF,Netherlands,Non-attached Members,125025,Forum voor Democratie,2019-2024,None,07-2019,male
Valentino GRANT,Italy,Identity and Democracy Group,197799,Lega,2019-2024,None,07-2019,male
Maria GRAPINI,Romania,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,124785,Partidul Umanist Social Liberal,2019-2024,None,07-2019,female
Markéta GREGOROVÁ,Czechia,Group of the Greens/European Free Alliance,197549,PIRÁTI,2019-2024,None,07-2019,female
Catherine GRISET,France,Identity and Democracy Group,94649,Rassemblement national,2019-2024,None,07-2019,female
Bart GROOTHUIS,Netherlands,Renew Europe Group,197780,Volkspartij voor Vrijheid en Democratie,2019-2024,None,07-2019,male
Klemen GROŠELJ,Slovenia,Renew Europe Group,197452,Gibanje Svoboda,2019-2024,None,07-2019,male
Christophe GRUDLER,France,Renew Europe Group,197557,Mouvement Démocrate,2019-2024,None,07-2019,male
Claude GRUFFAT,France,Group of the Greens/European Free Alliance,204420,Europe Écologie,2019-2024,None,07-2019,male
Elisabetta GUALMINI,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197618,Partito Democratico,2019-2024,None,07-2019,female
Francisco GUERREIRO,Portugal,Group of the Greens/European Free Alliance,197645,Independente,2019-2024,None,07-2019,male
Bernard GUETTA,France,Renew Europe Group,197543,Liste Renaissance,2019-2024,None,07-2019,male
Sylvie GUILLAUME,France,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,96952,Parti socialiste,2019-2024,None,07-2019,female
José GUSMÃO,Portugal,The Left group in the European Parliament - GUE/NGL,88715,Bloco de Esquerda,2019-2024,None,07-2019,male
Márton GYÖNGYÖSI,Hungary,Non-attached Members,198063,Jobbik – Konzervatívok,2019-2024,None,07-2019,male
Enikő GYŐRI,Hungary,Non-attached Members,96830,Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt,2019-2024,None,07-2019,female
András GYÜRK,Hungary,Non-attached Members,23816,Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt,2019-2024,None,07-2019,male
Svenja HAHN,Germany,Renew Europe Group,197444,Freie Demokratische Partei,2019-2024,None,07-2019,female
Henrike HAHN,Germany,Group of the Greens/European Free Alliance,197457,Bündnis 90/Die Grünen,2019-2024,None,07-2019,female
Roman HAIDER,Austria,Identity and Democracy Group,198176,Freiheitliche Partei Österreichs,2019-2024,None,07-2019,male
Robert HAJŠEL,Slovakia,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,34578,Independent,2019-2024,None,07-2019,male
Teuvo HAKKARAINEN,Finland,Identity and Democracy Group,197596,Perussuomalaiset,2019-2024,None,07-2019,male
Andrzej HALICKI,Poland,Group of the European People's Party (Christian Democrats),197514,Platforma Obywatelska,2019-2024,None,07-2019,male
Christophe HANSEN,Luxembourg,Group of the European People's Party (Christian Democrats),193419,Parti chrétien social luxembourgeois,2019-2024,None,07-2019,male
Martin HÄUSLING,Germany,Group of the Greens/European Free Alliance,96752,Bündnis 90/Die Grünen,2019-2024,None,07-2019,male
Heidi HAUTALA,Finland,Group of the Greens/European Free Alliance,2054,Vihreä liitto,2019-2024,None,07-2019,female
Mircea-Gheorghe HAVA,Romania,Group of the European People's Party (Christian Democrats),197646,Partidul Naţional Liberal,2019-2024,None,07-2019,male
Valérie HAYER,France,Renew Europe Group,135511,Renaissance,2019-2024,None,07-2019,female
Anja HAZEKAMP,Netherlands,The Left group in the European Parliament - GUE/NGL,125023,Partij voor de Dieren,2019-2024,None,07-2019,female
Hannes HEIDE,Austria,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197682,Sozialdemokratische Partei Österreichs,2019-2024,None,07-2019,male
Eero HEINÄLUOMA,Finland,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197800,Suomen Sosialidemokraattinen Puolue/Finlands Socialdemokratiska Parti,2019-2024,None,07-2019,male
Niclas HERBST,Germany,Group of the European People's Party (Christian Democrats),197412,Christlich Demokratische Union Deutschlands,2019-2024,None,07-2019,male
Pierrette HERZBERGER-FOFANA,Germany,Group of the Greens/European Free Alliance,197459,Bündnis 90/Die Grünen,2019-2024,None,07-2019,female
Krzysztof HETMAN,Poland,Group of the European People's Party (Christian Democrats),124895,Polskie Stronnictwo Ludowe,2019-2024,None,07-2019,male
Balázs HIDVÉGHI,Hungary,Non-attached Members,124586,Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt,2019-2024,None,07-2019,male
Martin HLAVÁČEK,Czechia,Renew Europe Group,197526,ANO 2011,2019-2024,None,07-2019,male
Monika HOHLMEIER,Germany,Group of the European People's Party (Christian Democrats),96780,Christlich-Soziale Union in Bayern e.V.,2019-2024,None,07-2019,female
Martin HOJSÍK,Slovakia,Renew Europe Group,197770,Progresívne Slovensko,2019-2024,None,07-2019,male
Pär HOLMGREN,Sweden,Group of the Greens/European Free Alliance,197398,Miljöpartiet de gröna,2019-2024,None,07-2019,female
György HÖLVÉNYI,Hungary,Group of the European People's Party (Christian Democrats),124715,Kereszténydemokrata Néppárt,2019-2024,None,07-2019,male
Alicia HOMS GINEL,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,122978,Partido Socialista Obrero Español,2019-2024,None,07-2019,female
Michiel HOOGEVEEN,Netherlands,European Conservatives and Reformists Group,218349,JA21,2019-2024,None,07-2019,male
Brice HORTEFEUX,France,Group of the European People's Party (Christian Democrats),5565,Les Républicains,2019-2024,None,07-2019,male
Ivo HRISTOV,Bulgaria,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197846,Bulgarian Socialist Party,2019-2024,None,07-2019,male
Danuta Maria HÜBNER,Poland,Group of the European People's Party (Christian Democrats),96779,Platforma Obywatelska,2019-2024,None,07-2019,female
Laura HUHTASAARI,Finland,Identity and Democracy Group,197594,Perussuomalaiset,2019-2024,None,07-2019,female
Jan HUITEMA,Netherlands,Renew Europe Group,58789,Volkspartij voor Vrijheid en Democratie,2019-2024,None,07-2019,male
Ivars IJABS,Latvia,Renew Europe Group,197624,Attīstībai/Par!,2019-2024,None,07-2019,male
Ladislav ILČIĆ,Croatia,European Conservatives and Reformists Group,221463,Hrvatski suverenisti,2019-2024,None,07-2019,male
Evin INCIR,Sweden,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197392,Arbetarepartiet- Socialdemokraterna,2019-2024,None,07-2019,female
Sophia IN 'T VELD,Netherlands,Renew Europe Group,28266,Democraten 66,2019-2024,None,07-2019,female
Yannick JADOT,France,Group of the Greens/European Free Alliance,96740,Europe Écologie,2019-2024,None,07-2019,male
Peter JAHR,Germany,Group of the European People's Party (Christian Democrats),96772,Christlich Demokratische Union Deutschlands,2019-2024,None,07-2019,male
Stasys JAKELIŪNAS,Lithuania,Group of the Greens/European Free Alliance,197837,Independent,2019-2024,None,07-2019,male
Patryk JAKI,Poland,European Conservatives and Reformists Group,197516,Solidarna Polska Zbigniewa Ziobro,2019-2024,None,07-2019,male
Jean-François JALKH,France,Identity and Democracy Group,124770,Rassemblement national,2019-2024,None,07-2019,male
France JAMET,France,Identity and Democracy Group,189065,Rassemblement national,2019-2024,None,07-2019,female
Lívia JÁRÓKA,Hungary,Non-attached Members,28141,Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt,2019-2024,None,07-2019,female
Adam JARUBAS,Poland,Group of the European People's Party (Christian Democrats),197517,Polskie Stronnictwo Ludowe,2019-2024,None,07-2019,male
Romana JERKOVIĆ,Croatia,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,112747,Socijaldemokratska partija Hrvatske,2019-2024,None,07-2019,female
Agnes JONGERIUS,Netherlands,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,125021,Partij van de Arbeid,2019-2024,None,07-2019,female
Virginie JORON,France,Identity and Democracy Group,197627,Rassemblement national,2019-2024,None,07-2019,female
Irena JOVEVA,Slovenia,Renew Europe Group,197447,Gibanje Svoboda,2019-2024,None,07-2019,female
Rasa JUKNEVIČIENĖ,Lithuania,Group of the European People's Party (Christian Democrats),197840,Tėvynės sąjunga-Lietuvos krikščionys demokratai,2019-2024,None,07-2019,female
Krzysztof JURGIEL,Poland,European Conservatives and Reformists Group,197518,Prawo i Sprawiedliwość,2019-2024,None,07-2019,male
Eugen JURZYCA,Slovakia,European Conservatives and Reformists Group,197767,Sloboda a Solidarita,2019-2024,None,07-2019,male
Hervé JUVIN,France,Non-attached Members,197626,Rassemblement national,2019-2024,None,07-2019,male
Eva KAILI,Greece,Non-attached Members,125109,Independent,2019-2024,None,07-2019,female
Jarosław KALINOWSKI,Poland,Group of the European People's Party (Christian Democrats),96771,Polskie Stronnictwo Ludowe,2019-2024,None,07-2019,male
Marina KALJURAND,Estonia,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197491,Sotsiaaldemokraatlik Erakond,2019-2024,None,07-2019,female
Sandra KALNIETE,Latvia,Group of the European People's Party (Christian Democrats),96934,"Partija ""VIENOTĪBA""",2019-2024,None,07-2019,female
Petra KAMMEREVERT,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,96837,Sozialdemokratische Partei Deutschlands,2019-2024,None,07-2019,female
Radan KANEV,Bulgaria,Group of the European People's Party (Christian Democrats),197839,Democrats for Strong Bulgaria,2019-2024,None,07-2019,male
Assita KANKO,Belgium,European Conservatives and Reformists Group,197469,Nieuw-Vlaamse Alliantie,2019-2024,None,07-2019,female
Othmar KARAS,Austria,Group of the European People's Party (Christian Democrats),4246,Österreichische Volkspartei,2019-2024,None,07-2019,male
Pierre KARLESKIND,France,Renew Europe Group,197585,La République en marche,2019-2024,None,07-2019,male
Karin KARLSBRO,Sweden,Renew Europe Group,197401,Liberalerna,2019-2024,None,07-2019,female
Karol KARSKI,Poland,European Conservatives and Reformists Group,124887,Prawo i Sprawiedliwość,2019-2024,None,07-2019,male
Elsi KATAINEN,Finland,Renew Europe Group,191693,Suomen Keskusta,2019-2024,None,07-2019,female
Manolis KEFALOGIANNIS,Greece,Group of the European People's Party (Christian Democrats),125068,Nea Demokratia,2019-2024,None,07-2019,male
Billy KELLEHER,Ireland,Renew Europe Group,197818,Fianna Fáil Party,2019-2024,None,07-2019,male
Fabienne KELLER,France,Renew Europe Group,22858,Agir - La Droite constructive,2019-2024,None,07-2019,female
Ska KELLER,Germany,Group of the Greens/European Free Alliance,96734,Bündnis 90/Die Grünen,2019-2024,None,07-2019,male
Seán KELLY,Ireland,Group of the European People's Party (Christian Democrats),96668,Fine Gael Party,2019-2024,None,07-2019,male
Beata KEMPA,Poland,European Conservatives and Reformists Group,197519,Solidarna Polska Zbigniewa Ziobro,2019-2024,None,07-2019,female
Niyazi KIZILYÜREK,Cyprus,The Left group in the European Parliament - GUE/NGL,197415,Progressive Party of Working People - Left - New Forces,2019-2024,None,07-2019,male
Ondřej KNOTEK,Czechia,Renew Europe Group,197528,ANO 2011,2019-2024,None,07-2019,male
Łukasz KOHUT,Poland,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197523,Nowa Lewica,2019-2024,None,07-2019,male
Arba KOKALARI,Sweden,Group of the European People's Party (Christian Democrats),197406,Moderaterna,2019-2024,None,07-2019,female
Petros KOKKALIS,Greece,The Left group in the European Parliament - GUE/NGL,197743,Coalition of the Radical Left,2019-2024,None,07-2019,male
Marcel KOLAJA,Czechia,Group of the Greens/European Free Alliance,197546,PIRÁTI,2019-2024,None,07-2019,male
Mislav KOLAKUŠIĆ,Croatia,Non-attached Members,197438,-,2019-2024,None,07-2019,male
Kateřina KONEČNÁ,Czechia,The Left group in the European Parliament - GUE/NGL,23699,Komunistická strana Čech a Moravy,2019-2024,None,07-2019,female
Athanasios KONSTANTINOU,Greece,Non-attached Members,197740,Independent,2019-2024,None,07-2019,male
Ewa KOPACZ,Poland,Group of the European People's Party (Christian Democrats),197525,Platforma Obywatelska,2019-2024,None,07-2019,female
Joanna KOPCIŃSKA,Poland,European Conservatives and Reformists Group,197530,Prawo i Sprawiedliwość,2019-2024,None,07-2019,female
Moritz KÖRNER,Germany,Renew Europe Group,197445,Freie Demokratische Partei,2019-2024,None,07-2019,male
Ádám KÓSA,Hungary,Non-attached Members,96829,Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt,2019-2024,None,07-2019,male
Dietmar KÖSTER,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,124822,Sozialdemokratische Partei Deutschlands,2019-2024,None,07-2019,male
Stelios KOULOGLOU,Greece,The Left group in the European Parliament - GUE/NGL,130833,Coalition of the Radical Left,2019-2024,None,07-2019,male
Elena KOUNTOURA,Greece,The Left group in the European Parliament - GUE/NGL,197699,Coalition of the Radical Left,2019-2024,None,07-2019,female
Ondřej KOVAŘÍK,Czechia,Renew Europe Group,118949,ANO 2011,2019-2024,None,07-2019,male
Andrey KOVATCHEV,Bulgaria,Group of the European People's Party (Christian Democrats),97968,Citizens for European Development of Bulgaria,2019-2024,None,07-2019,male
Maximilian KRAH,Germany,Identity and Democracy Group,197481,Alternative für Deutschland,2019-2024,None,07-2019,male
Zdzisław KRASNODĘBSKI,Poland,European Conservatives and Reformists Group,124891,Prawo i Sprawiedliwość,2019-2024,None,07-2019,male
Elżbieta KRUK,Poland,European Conservatives and Reformists Group,197532,Prawo i Sprawiedliwość,2019-2024,None,07-2019,female
Andrius KUBILIUS,Lithuania,Group of the European People's Party (Christian Democrats),197843,Tėvynės sąjunga-Lietuvos krikščionys demokratai,2019-2024,None,07-2019,male
Alice KUHNKE,Sweden,Group of the Greens/European Free Alliance,197395,Miljöpartiet de gröna,2019-2024,None,07-2019,female
Joachim KUHS,Germany,Identity and Democracy Group,197482,Alternative für Deutschland,2019-2024,None,07-2019,male
Miapetra KUMPULA-NATRI,Finland,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,124735,Suomen Sosialidemokraattinen Puolue/Finlands Socialdemokratiska Parti,2019-2024,None,07-2019,female
Zbigniew KUŹMIUK,Poland,European Conservatives and Reformists Group,28389,Prawo i Sprawiedliwość,2019-2024,None,07-2019,male
Stelios KYMPOUROPOULOS,Greece,Group of the European People's Party (Christian Democrats),197692,Nea Demokratia,2019-2024,None,07-2019,male
Georgios KYRTSOS,Greece,Renew Europe Group,125063,Independent,2019-2024,None,07-2019,male
Ilhan KYUCHYUK,Bulgaria,Renew Europe Group,124866,Movement for Rights and Freedoms,2019-2024,None,07-2019,male
Jean-Lin LACAPELLE,France,Identity and Democracy Group,204421,Rassemblement national,2019-2024,None,07-2019,male
Sergey LAGODINSKY,Germany,Group of the Greens/European Free Alliance,197460,Bündnis 90/Die Grünen,2019-2024,None,07-2019,male
Ioannis LAGOS,Greece,Non-attached Members,197737,Independent,2019-2024,None,07-2019,male
Aurore LALUCQ,France,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197697,Place publique,2019-2024,None,07-2019,female
Philippe LAMBERTS,Belgium,Group of the Greens/European Free Alliance,96648,Ecologistes Confédérés pour l'Organisation de Luttes Originales,2019-2024,None,07-2019,male
Danilo Oscar LANCINI,Italy,Identity and Democracy Group,192635,Lega,2019-2024,None,07-2019,male
Bernd LANGE,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,1909,Sozialdemokratische Partei Deutschlands,2019-2024,None,07-2019,male
Esther de LANGE,Netherlands,Group of the European People's Party (Christian Democrats),38398,Christen Democratisch Appèl,2019-2024,None,07-2019,female
Katrin LANGENSIEPEN,Germany,Group of the Greens/European Free Alliance,197461,Bündnis 90/Die Grünen,2019-2024,None,07-2019,female
Pierre LARROUTUROU,France,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197698,Nouvelle Donne,2019-2024,None,07-2019,male
Camilla LAURETI,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,230085,Partito Democratico,2019-2024,None,07-2019,female
Gilles LEBRETON,France,Identity and Democracy Group,124738,Rassemblement national,2019-2024,None,07-2019,male
David LEGA,Sweden,Group of the European People's Party (Christian Democrats),197393,Kristdemokraterna,2019-2024,None,07-2019,male
Ryszard Antoni LEGUTKO,Poland,European Conservatives and Reformists Group,96796,Prawo i Sprawiedliwość,2019-2024,None,07-2019,male
Jeroen LENAERS,Netherlands,Group of the European People's Party (Christian Democrats),95074,Christen Democratisch Appèl,2019-2024,None,07-2019,male
Janusz LEWANDOWSKI,Poland,Group of the European People's Party (Christian Democrats),23781,Platforma Obywatelska,2019-2024,None,07-2019,male
Miriam LEXMANN,Slovakia,Group of the European People's Party (Christian Democrats),204336,Kresťanskodemokratické hnutie,2019-2024,None,07-2019,female
Bogusław LIBERADZKI,Poland,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,23768,Nowa Lewica,2019-2024,None,07-2019,male
Peter LIESE,Germany,Group of the European People's Party (Christian Democrats),1927,Christlich Demokratische Union Deutschlands,2019-2024,None,07-2019,male
Sylvia LIMMER,Germany,Identity and Democracy Group,197483,Alternative für Deutschland,2019-2024,None,07-2019,female
Norbert LINS,Germany,Group of the European People's Party (Christian Democrats),124808,Christlich Demokratische Union Deutschlands,2019-2024,None,07-2019,male
Elena LIZZI,Italy,Identity and Democracy Group,197611,Lega,2019-2024,None,07-2019,female
Nathalie LOISEAU,France,Renew Europe Group,197494,Liste Renaissance,2019-2024,None,07-2019,female
Morten LØKKEGAARD,Denmark,Renew Europe Group,96709,"Venstre, Danmarks Liberale Parti",2019-2024,None,07-2019,male
Javi LÓPEZ,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,125042,Partit dels Socialistes de Catalunya,2019-2024,None,07-2019,male
Juan Fernando LÓPEZ AGUILAR,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,96812,Partido Socialista Obrero Español,2019-2024,None,07-2019,male
Leopoldo LÓPEZ GIL,Spain,Group of the European People's Party (Christian Democrats),197777,Partido Popular,2019-2024,None,07-2019,male
Antonio LÓPEZ-ISTÚRIZ WHITE,Spain,Group of the European People's Party (Christian Democrats),28399,Partido Popular,2019-2024,None,07-2019,male
Karsten LUCKE,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,228286,Sozialdemokratische Partei Deutschlands,2019-2024,None,07-2019,male
César LUENA,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197721,Partido Socialista Obrero Español,2019-2024,None,07-2019,male
Elżbieta Katarzyna ŁUKACIJEWSKA,Poland,Group of the European People's Party (Christian Democrats),96791,Platforma Obywatelska,2019-2024,None,07-2019,female
Peter LUNDGREN,Sweden,European Conservatives and Reformists Group,124996,Sverigedemokraterna,2019-2024,None,07-2019,male
Benoît LUTGEN,Belgium,Group of the European People's Party (Christian Democrats),197458,Les Engagés,2019-2024,None,07-2019,male
Bergur Løkke RASMUSSEN,Denmark,Renew Europe Group,239973,"Venstre, Danmarks Liberale Parti",2019-2024,None,07-2019,male
