fullName,country,eu_group_1,id,nation_group,term,eu_group_2,start_period_1,gender
Dimitrios PAPADIMOULIS,Greece,The Left group in the European Parliament - GUE/NGL,28586,Coalition of the Radical Left,2019-2024,None,07-2019,male
Aldo PATRICIELLO,Italy,Group of the European People's Party (Christian Democrats),36392,Forza Italia,2019-2024,None,07-2019,male
Jutta PAULUS,Germany,Group of the Greens/European Free Alliance,197466,Bündnis 90/Die Grünen,2019-2024,None,07-2019,female
Piernicola PEDICINI,Italy,Group of the Greens/European Free Alliance,124844,Independent,2019-2024,None,07-2019,male
Mauri PEKKARINEN,Finland,Renew Europe Group,197563,Suomen Keskusta,2019-2024,None,07-2019,male
Mikuláš PEKSA,Czechia,Group of the Greens/European Free Alliance,197539,PIRÁTI,2019-2024,None,07-2019,male
Anne-Sophie PELLETIER,France,The Left group in the European Parliament - GUE/NGL,197527,La France Insoumise,2019-2024,None,07-2019,female
Tsvetelina PENKOVA,Bulgaria,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197845,Bulgarian Socialist Party,2019-2024,None,07-2019,female
Sandra PEREIRA,Portugal,The Left group in the European Parliament - GUE/NGL,197754,Partido Comunista Português,2019-2024,None,07-2019,female
Lídia PEREIRA,Portugal,Group of the European People's Party (Christian Democrats),197738,Partido Social Democrata,2019-2024,None,07-2019,female
Kira Marie PETER-HANSEN,Denmark,Group of the Greens/European Free Alliance,197573,Socialistisk Folkeparti,2019-2024,None,07-2019,female
Morten PETERSEN,Denmark,Renew Europe Group,124872,Det Radikale Venstre,2019-2024,None,07-2019,male
Pina PICIERNO,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,124846,Partito Democratico,2019-2024,None,07-2019,female
Tonino PICULA,Croatia,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,112744,Socijaldemokratska partija Hrvatske,2019-2024,None,07-2019,male
Markus PIEPER,Germany,Group of the European People's Party (Christian Democrats),28224,Christlich Demokratische Union Deutschlands,2019-2024,None,07-2019,male
Sirpa PIETIKÄINEN,Finland,Group of the European People's Party (Christian Democrats),40599,Kansallinen Kokoomus,2019-2024,None,07-2019,female
Sabrina PIGNEDOLI,Italy,Non-attached Members,197619,Movimento 5 Stelle,2019-2024,None,07-2019,female
João PIMENTA LOPES,Portugal,The Left group in the European Parliament - GUE/NGL,136236,Partido Comunista Português,2019-2024,None,07-2019,male
Manu PINEDA,Spain,The Left group in the European Parliament - GUE/NGL,197828,Izquierda Unida,2019-2024,None,07-2019,male
Maxette PIRBAKAS,France,Non-attached Members,197629,Indépendant,2019-2024,None,07-2019,female
Margarita DE LA PISA CARRIÓN,Spain,European Conservatives and Reformists Group,204414,VOX,2019-2024,None,07-2019,female
Giuliano PISAPIA,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197590,Independent,2019-2024,None,07-2019,male
Dragoş PÎSLARU,Romania,Renew Europe Group,197663,Reînnoim Proiectul European al României,2019-2024,None,07-2019,male
Rovana PLUMB,Romania,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,38595,Partidul Social Democrat,2019-2024,None,07-2019,female
Stanislav POLČÁK,Czechia,Group of the European People's Party (Christian Democrats),124704,Starostové a nezávisli,2019-2024,None,07-2019,male
Jessica POLFJÄRD,Sweden,Group of the European People's Party (Christian Democrats),197404,Moderaterna,2019-2024,None,07-2019,female
Peter POLLÁK,Slovakia,Group of the European People's Party (Christian Democrats),197765,Obyčajní ľudia a nezávislé osobnosti,2019-2024,None,07-2019,male
Clara PONSATÍ OBIOLS,Spain,Non-attached Members,204443,Junts per Catalunya - Lliures per Europa,2019-2024,None,07-2019,female
Eva Maria POPTCHEVA,Spain,Renew Europe Group,237320,Ciudadanos – Partido de la Ciudadanía,2019-2024,None,07-2019,female
Tomasz Piotr PORĘBA,Poland,European Conservatives and Reformists Group,96801,Prawo i Sprawiedliwość,2019-2024,None,07-2019,male
Jiří POSPÍŠIL,Czechia,Group of the European People's Party (Christian Democrats),125706,TOP 09 a Starostové,2019-2024,None,07-2019,male
Erik POULSEN,Denmark,Renew Europe Group,239972,"Venstre, Danmarks Liberale Parti",2019-2024,None,07-2019,male
Nicola PROCACCINI,Italy,European Conservatives and Reformists Group,197820,Fratelli d'Italia,2019-2024,None,07-2019,male
Carles PUIGDEMONT I CASAMAJÓ,Spain,Non-attached Members,202351,Junts per Catalunya - Lliures per Europa,2019-2024,None,07-2019,male
Miroslav RADAČOVSKÝ,Slovakia,Non-attached Members,197764,Slovak PATRIOT,2019-2024,None,07-2019,male
Emil RADEV,Bulgaria,Group of the European People's Party (Christian Democrats),124850,Citizens for European Development of Bulgaria,2019-2024,None,07-2019,male
Dennis RADTKE,Germany,Group of the European People's Party (Christian Democrats),188945,Christlich Demokratische Union Deutschlands,2019-2024,None,07-2019,male
Samira RAFAELA,Netherlands,Renew Europe Group,197868,Democraten 66,2019-2024,None,07-2019,female
Elżbieta RAFALSKA,Poland,European Conservatives and Reformists Group,197544,Prawo i Sprawiedliwość,2019-2024,None,07-2019,female
Paulo RANGEL,Portugal,Group of the European People's Party (Christian Democrats),96903,Partido Social Democrata,2019-2024,None,07-2019,male
Luisa REGIMENTI,Italy,Group of the European People's Party (Christian Democrats),197790,Forza Italia,2019-2024,None,07-2019,female
Evelyn REGNER,Austria,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,96998,Sozialdemokratische Partei Österreichs,2019-2024,None,07-2019,female
Sira REGO,Spain,The Left group in the European Parliament - GUE/NGL,197681,Izquierda Unida,2019-2024,None,07-2019,female
Guido REIL,Germany,Identity and Democracy Group,197488,Alternative für Deutschland,2019-2024,None,07-2019,male
Terry REINTKE,Germany,Group of the Greens/European Free Alliance,103381,Bündnis 90/Die Grünen,2019-2024,None,07-2019,male
René REPASI,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,229839,Sozialdemokratische Partei Deutschlands,2019-2024,None,07-2019,male
Karlo RESSLER,Croatia,Group of the European People's Party (Christian Democrats),197413,Hrvatska demokratska zajednica,2019-2024,None,07-2019,male
Thijs REUTEN,Netherlands,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,218347,Partij van de Arbeid,2019-2024,None,07-2019,male
Diana RIBA I GINER,Spain,Group of the Greens/European Free Alliance,197832,Esquerra Republicana de Catalunya,2019-2024,None,07-2019,female
Frédérique RIES,Belgium,Renew Europe Group,4253,Mouvement Réformateur,2019-2024,None,07-2019,female
Antonio Maria RINALDI,Italy,Identity and Democracy Group,197787,Lega,2019-2024,None,07-2019,male
Catharina RINZEMA,Netherlands,Renew Europe Group,229519,Volkspartij voor Vrijheid en Democratie,2019-2024,None,07-2019,female
Manuela RIPA,Germany,Group of the Greens/European Free Alliance,206158,Ökologisch-Demokratische Partei,2019-2024,None,07-2019,female
Dominique RIQUET,France,Renew Europe Group,96885,Mouvement Radical Social-Libéral,2019-2024,None,07-2019,male
Michèle RIVASI,France,Group of the Greens/European Free Alliance,96743,Europe Écologie,2019-2024,None,07-2019,female
Jérôme RIVIÈRE,France,Non-attached Members,197615,Reconquête!,2019-2024,None,07-2019,male
Franco ROBERTI,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197801,Partito Democratico,2019-2024,None,07-2019,male
Inma RODRÍGUEZ-PIÑERO,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,125043,Partido Socialista Obrero Español,2019-2024,None,07-2019,female
Eugenia RODRÍGUEZ PALOP,Spain,The Left group in the European Parliament - GUE/NGL,197785,PODEMOS,2019-2024,None,07-2019,female
