fullName,id,country,eu_group_1,eu_group_2,nation_group,term,start_period_1,gender
Manuel dos SANTOS,21918,Portugal,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament ,None,Partido Socialista ,2014-2019,06-2016,male
Daciana Octavia SÂRBU,33989,Romania,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament ,None,Partidul Social Democrat ,2014-2019,07-2014,female
Judith SARGENTINI,96815,Netherlands,Group of the Greens/European Free Alliance ,None,GroenLinks ,2014-2019,07-2014,female
Petri SARVAMAA,112611,Finland,Group of the European People's Party (Christian Democrats) ,None,Kansallinen Kokoomus ,2014-2019,07-2014,male
Jacek SARYUSZ-WOLSKI,28297,Poland,Group of the European People's Party (Christian Democrats) ,None,Platforma Obywatelska ,2014-2019,07-2014,male
David Maria SASSOLI,96864,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament ,None,Partito Democratico ,2014-2019,07-2014,male
Algirdas SAUDARGAS,96696,Lithuania,Group of the European People's Party (Christian Democrats) ,None,Tėvynės sąjunga-Lietuvos krikščionys demokratai ,2014-2019,07-2014,male
Marietje SCHAAKE,96945,Netherlands,Group of the Alliance of Liberals and Democrats for Europe ,None,Democraten 66 ,2014-2019,07-2014,female
Jean-Luc SCHAFFHAUSER,124755,France,Non-attached Members,Europe of Nations and Freedom Group ,Rassemblement bleu Marine ,2014-2019,07-2014,male
Christel SCHALDEMOSE,37312,Denmark,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament ,None,Socialdemokratiet ,2014-2019,07-2014,female
Martin SCHIRDEWAN,190517,Germany,Confederal Group of the European United Left ,None,DIE LINKE. ,2014-2019,11-2017,male
Elly SCHLEIN,124804,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament ,None,Partito Democratico ,2014-2019,07-2014,female
Claudia SCHMIDT,125016,Austria,Group of the European People's Party (Christian Democrats) ,None,Österreichische Volkspartei ,2014-2019,07-2014,female
Helmut SCHOLZ,96646,Germany,Confederal Group of the European United Left ,None,DIE LINKE. ,2014-2019,07-2014,male
György SCHÖPFLIN,28135,Hungary,Group of the European People's Party (Christian Democrats) ,None,Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt ,2014-2019,07-2014,male
Annie SCHREIJER-PIERIK,125030,Netherlands,Group of the European People's Party (Christian Democrats) ,None,Christen Democratisch Appèl ,2014-2019,07-2014,female
Martin SCHULZ,1911,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament ,None,Sozialdemokratische Partei Deutschlands ,2014-2019,07-2014,male
Sven SCHULZE,124809,Germany,Group of the European People's Party (Christian Democrats) ,None,Christlich Demokratische Union Deutschlands ,2014-2019,07-2014,male
Joachim SCHUSTER,124837,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament ,None,Sozialdemokratische Partei Deutschlands ,2014-2019,07-2014,male
Andreas SCHWAB,28223,Germany,Group of the European People's Party (Christian Democrats) ,None,Christlich Demokratische Union Deutschlands ,2014-2019,07-2014,male
Giancarlo SCOTTÀ,96996,Italy,Europe of Nations and Freedom Group ,None,Lega Nord ,2014-2019,04-2018,male
